id,nlayers,main_train_pts,aux_train_pts,relatedness,s_a,s_b,single_task,train_seed,validation-1/loss
deep-nonlinear-ff4728b38a5d4b2e8e002b63a472c8d1,1,400,400,1.0,0.6309573444801929,0.15848931924611134,False,1,1.6159925460815432
deep-nonlinear-3a421770422d4cbaa8e6baea87493a8a,5,200,200,0.0,0.01,0.03981071705534973,False,1,2.2997593879699707
deep-nonlinear-2f6e045fe2c64d83b79f5ef5eea527d3,3,400,400,0.0,0.6309573444801929,2.51188643150958,False,3,2.215307235717773
deep-nonlinear-09c1007ac6274098bf4d3fcabda51ef4,5,800,800,0.25,10.0,0.6309573444801929,False,0,2.0731267929077153
deep-nonlinear-3d0e2b6568004ecf81c1538e057e4c3e,3,400,400,1.0,0.15848931924611134,0.15848931924611134,False,3,2.1402218341827397
deep-nonlinear-708e95b0fa554063be1ec78966604844,1,800,800,0.75,10.0,10.0,False,2,1.2513597011566162
deep-nonlinear-ac1edc17d24247e58bbd1d8603939ca9,1,400,400,0.5,2.51188643150958,2.51188643150958,False,1,1.7410180568695068
deep-nonlinear-7df5494748454047a2bc71c4085b5e9e,3,200,200,0.0,2.51188643150958,1.0,True,3,2.2729411125183105
deep-nonlinear-acabac56d96b4a46b76aeb8c05d47884,1,400,400,0.0,0.15848931924611134,2.51188643150958,False,2,2.02508544921875
deep-nonlinear-e2cb00b2ee02493cbaa3a39bc10642a1,3,400,400,0.25,0.01,0.03981071705534973,False,2,2.3152127265930176
deep-nonlinear-ce83dfa8e3654ea69c89e1cd160a3fe7,5,200,200,1.0,0.6309573444801929,10.0,False,2,2.2523057460784908
deep-nonlinear-3b708d2e726045c39949f0a81b0b261d,3,400,400,1.0,0.03981071705534973,0.03981071705534973,False,0,2.233973979949951
deep-nonlinear-ecbf3f9ed7134da68164378837e319f9,5,200,200,0.25,2.51188643150958,0.03981071705534973,False,4,2.2612099647521973
deep-nonlinear-74e0c04cd2dd44059cb4e8f21ece4052,1,800,800,0.5,0.01,2.51188643150958,False,1,2.349170684814453
deep-nonlinear-380e57970fbe45b8b3188f3425dcc63b,5,200,200,0.5,0.6309573444801929,2.51188643150958,False,0,2.2899930477142334
deep-nonlinear-0a5705f7a0c0406db34a2a7ccb0a750c,5,400,400,0.25,10.0,10.0,False,2,2.1941769123077397
deep-nonlinear-792e0a435b9d4858bae8e927b3f2a941,5,800,800,0.5,0.01,2.51188643150958,False,4,2.299759864807129
deep-nonlinear-a7752f838eb74ded994c43230327cd9d,5,200,200,0.75,0.6309573444801929,2.51188643150958,False,2,2.286851406097412
deep-nonlinear-02fa513e8aa64a65880fe7bb28c26394,5,200,200,0.75,0.03981071705534973,0.03981071705534973,False,2,2.2960774898529053
deep-nonlinear-2cbaff9c2a194382896b69baf0883a3c,5,200,200,0.0,2.51188643150958,1.0,True,4,2.248000144958496
deep-nonlinear-dc54690c0c984c189a8be17a2aa141b1,5,200,200,0.0,0.15848931924611134,0.6309573444801929,False,1,2.2935891151428223
deep-nonlinear-2db6a1870e2345b19809d58a55585104,5,200,200,0.5,0.01,2.51188643150958,False,1,2.2997593879699707
deep-nonlinear-ad3f09aeccb344eeb0496d08c50efd5c,5,400,400,1.0,0.03981071705534973,0.15848931924611134,False,3,2.299906015396118
deep-nonlinear-f2c3634db0994d838c3c50a8e21e12b0,5,200,200,0.5,0.01,0.01,False,0,2.2990105152130127
deep-nonlinear-a3f774822f8e439989e22455c16b057c,5,400,400,0.0,0.03981071705534973,0.15848931924611134,False,2,2.299844980239868
deep-nonlinear-c3064e1b73304e17b0f1e59a4b3bac69,5,400,400,1.0,0.03981071705534973,0.03981071705534973,False,2,2.299933195114136
deep-nonlinear-21945a56bc414dca9cfa3e03375f03c8,5,200,200,0.25,0.01,0.03981071705534973,False,4,2.2953627109527592
deep-nonlinear-c1ebd07af0324bbf9d3017edc6c2c373,3,200,200,0.0,0.15848931924611134,0.6309573444801929,False,0,2.2974424362182617
deep-nonlinear-81d7a17d407f469abb1c30ceef57aa48,3,800,800,0.25,2.51188643150958,2.51188643150958,False,1,2.097719669342041
deep-nonlinear-37ce6cf5face43dfb0f3de2c7997f6d2,3,400,400,0.25,0.15848931924611134,0.15848931924611134,False,0,2.1991841793060303
deep-nonlinear-e07e974e5ee1445aa94a04d6c4d53b75,3,200,200,0.0,0.6309573444801929,10.0,False,2,2.236487865447998
deep-nonlinear-d4c4bfcff57e4e5d9effa5db4edb6e1f,5,200,200,0.75,0.6309573444801929,10.0,False,1,2.2892279624938965
deep-nonlinear-2ae9b9029da047cf9d6b4f1adbfed9f6,5,800,800,1.0,0.6309573444801929,0.01,False,2,1.8423569202423096
deep-nonlinear-f6b872ecc7c34a70ba039c222738bd15,1,400,400,0.5,0.15848931924611134,0.15848931924611134,False,1,2.0063014030456543
deep-nonlinear-c1c431a6d57148f58451ba96f5a0f74a,3,400,400,1.0,0.01,2.51188643150958,False,2,2.3167166709899902
